	Unnamed: 0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149
10	12	0.0	0.007	0.005	0.599	0.954	0.013	0.11	0.001	0.439	2.174	0.675	0.014	0.053	0.0	0.04	0.012	0.003	1.203	0.0	0.446	0.05	0.687	0.0	0.05	0.208	0.059	0.041	0.133	0.044	0.0	0.178	0.0	0.029	0.163	0.006	0.0	0.001	0.03	0.079	0.039	0.019	0.01	0.089	0.0	0.218	0.003	1.483	0.036	2.246	0.029	2.958	1.317	0.0	0.182	0.074	0.004	1.402	0.061	0.033	0.142	0.001	0.029	0.0	0.845	0.071	0.0	0.003	0.001	2.007	0.007	0.012	0.012	0.0	0.115	0.172	0.001	0.093	0.007	0.104	0.04	0.048	0.018	0.029	0.049	0.112	0.105	0.06	0.219	0.128	0.042	0.076	0.014	0.003	0.276	0.12	0.173	0.079	0.0	0.021	0.171	0.019	0.001	0.015	0.004	0.258	0.003	0.022	0.027	0.041	0.0	0.007	0.022	0.175	0.05	0.039	0.015	0.582	0.002	0.154	0.0	0.039	3.532	0.172	0.005	0.024	1.934	0.012	0.103	0.002	0.469	0.02	0.02	0.078	0.016	2.721	0.0	0.016	0.03	0.031	0.021	0.011	0.197	0.662	0.061	0.024	0.046	0.152	0.164	0.002	0.015
11	13	0.0	0.019	0.024	1.604	2.046	0.029	0.114	0.0	0.852	4.679	2.117	0.063	0.007	0.0	0.176	0.011	0.003	3.499	0.0	0.783	0.181	1.411	0.001	0.071	0.35	0.152	0.18	0.28	0.181	0.0	0.316	0.0	0.021	0.201	0.006	0.008	0.062	0.039	0.163	0.005	0.063	0.006	0.149	0.0	0.08	0.02	2.068	0.132	5.505	0.075	0.281	4.048	0.0	0.509	0.226	0.003	3.267	0.003	0.0	0.304	0.002	0.048	0.003	1.717	0.059	0.004	0.023	0.004	4.582	0.019	0.052	0.03	0.0	0.225	0.367	0.0	0.15	0.003	0.035	0.085	0.07	0.005	0.004	0.043	0.073	0.028	0.162	0.406	0.01	0.041	0.168	0.034	0.0	0.668	0.379	0.313	0.099	0.0	0.03	0.224	0.058	0.001	0.057	0.015	0.314	0.039	0.049	0.032	0.099	0.0	0.005	0.017	0.507	0.054	0.055	0.01	0.943	0.011	0.226	0.027	0.024	1.527	0.439	0.0	0.113	3.929	0.027	0.286	0.024	0.81	0.047	0.045	0.146	0.053	7.301	0.0	0.046	0.008	0.061	0.025	0.053	0.143	1.505	0.056	0.087	0.045	0.344	0.062	0.005	0.013
12	14	0.0	0.002	0.005	1.395	1.422	0.004	0.149	0.001	1.002	4.504	1.627	0.033	0.03	0.007	0.096	0.018	0.015	2.533	0.002	0.447	0.369	1.078	0.008	0.02	0.316	0.17	0.108	0.134	0.083	0.0	0.204	0.0	0.03	0.483	0.0	0.0	0.009	0.01	0.118	0.007	0.017	0.005	0.19	0.0	0.043	0.005	0.949	0.11	3.579	0.018	0.064	2.694	0.0	0.342	0.239	0.0	2.293	0.04	0.008	0.23	0.013	0.094	0.004	2.083	0.1	0.005	0.009	0.0	2.648	0.015	0.018	0.047	0.0	0.113	0.332	0.0	0.109	0.025	0.088	0.036	0.035	0.012	0.183	0.047	0.117	0.143	0.023	0.293	0.137	0.053	0.275	0.011	0.0	0.202	0.211	0.326	0.105	0.0	0.03	0.148	0.019	0.007	0.088	0.012	0.154	0.012	0.024	0.015	0.056	0.013	0.014	0.007	0.174	0.055	0.036	0.013	1.071	0.027	0.119	0.01	0.071	0.982	0.347	0.0	0.079	2.277	0.0	0.144	0.001	0.429	0.03	0.048	0.046	0.015	4.907	0.001	0.03	0.011	0.108	0.019	0.036	0.099	1.199	0.112	0.054	0.021	0.159	0.17	0.005	0.02
13	15	0.0	0.001	0.008	1.663	2.326	0.034	0.176	0.0	0.922	5.632	1.879	0.053	0.033	0.004	0.148	0.024	0.021	2.526	0.0	0.719	0.178	1.424	0.004	0.04	0.489	0.143	0.099	0.197	0.071	0.014	0.238	0.016	0.025	0.73	0.002	0.0	0.023	0.028	0.082	0.027	0.31	0.006	0.195	0.0	0.094	0.006	0.954	0.112	4.49	0.065	0.168	4.863	0.008	0.465	0.326	0.0	2.703	0.036	0.065	0.274	0.011	0.168	0.003	2.204	0.2	0.037	0.005	0.002	3.915	0.025	0.033	0.013	0.003	0.164	0.753	0.0	0.368	0.012	0.074	0.016	0.1	0.066	0.046	0.142	0.078	0.273	0.121	0.467	0.067	0.055	0.356	0.006	0.019	0.771	0.185	0.245	0.1	0.0	0.05	0.259	0.037	0.008	0.03	0.001	0.366	0.01	0.033	0.03	0.081	0.029	0.004	0.103	0.339	0.111	0.075	0.083	0.682	0.004	0.28	0.0	0.032	1.377	0.526	0.0	0.071	3.075	0.021	0.289	0.014	0.598	0.013	0.028	0.094	0.127	4.77	0.01	0.027	0.008	0.036	0.078	0.029	0.105	1.492	0.043	0.073	0.125	0.167	0.073	0.0	0.017
14	16	0.0	0.025	0.015	1.922	2.52	0.0	0.076	0.001	0.919	4.209	1.607	0.005	0.011	0.01	0.071	0.006	0.013	2.917	0.04	0.639	0.122	1.076	0.015	0.038	0.4	0.071	0.064	0.274	0.061	0.0	0.28	0.002	0.031	0.412	0.017	0.004	0.0	0.02	0.076	0.007	0.154	0.011	0.355	0.0	0.186	0.004	0.655	0.094	3.753	0.112	0.175	2.744	0.005	0.39	0.307	0.004	1.85	0.024	0.001	0.192	0.026	0.069	0.004	2.042	0.121	0.022	0.039	0.01	3.23	0.003	0.078	0.055	0.0	0.181	0.436	0.0	0.13	0.031	0.069	0.036	0.08	0.019	0.128	0.126	0.206	0.292	0.067	0.386	0.119	0.046	0.092	0.003	0.015	0.823	0.372	0.409	0.115	0.0	0.042	0.172	0.016	0.0	0.012	0.011	0.181	0.003	0.153	0.08	0.108	0.013	0.0	0.008	0.331	0.059	0.051	0.025	1.103	0.057	0.202	0.003	0.019	0.995	0.478	0.009	0.118	3.013	0.01	0.204	0.0	0.667	0.023	0.061	0.117	0.064	4.545	0.0	0.007	0.004	0.024	0.002	0.02	0.131	1.046	0.092	0.075	0.12	0.211	0.822	0.0	0.045
15	17	0.0	0.134	0.004	1.283	1.42	0.057	0.029	0.0	0.835	3.38	1.146	0.04	0.083	0.009	0.137	0.032	0.039	1.659	0.01	0.479	0.216	1.352	0.007	0.022	0.223	0.011	0.109	0.208	0.03	0.0	0.223	0.013	0.01	0.257	0.0	0.0	0.0	0.021	0.108	0.009	0.029	0.039	0.126	0.0	0.051	0.0	0.603	0.059	2.965	0.058	0.113	2.484	0.004	0.308	0.25	0.011	0.918	0.039	0.046	0.161	0.03	0.094	0.0	1.027	0.171	0.002	0.014	0.0	3.299	0.039	0.056	0.008	0.0	0.1	0.265	0.0	0.303	0.009	0.04	0.017	0.057	0.01	0.045	0.028	0.088	0.261	0.142	0.272	0.002	0.081	0.085	0.004	0.001	0.859	0.164	0.249	0.041	0.0	0.026	0.274	0.058	0.0	0.014	0.009	0.314	0.001	0.044	0.011	0.124	0.006	0.035	0.083	0.1	0.08	0.037	0.041	0.878	0.012	0.155	0.004	0.049	0.664	0.392	0.002	0.115	2.476	0.006	0.226	0.013	0.486	0.009	0.055	0.254	0.025	3.441	0.037	0.023	0.015	0.017	0.008	0.025	0.241	1.023	0.072	0.041	0.035	0.061	0.805	0.0	0.017
16	18	0.0	0.019	0.024	2.385	2.913	0.008	0.03	0.001	0.629	1.947	0.999	0.013	0.108	0.002	0.04	0.047	0.018	2.189	0.003	0.694	0.151	1.385	0.016	0.025	0.394	0.137	0.123	0.207	0.073	0.0	0.211	0.0	0.009	0.157	0.0	0.0	0.0	0.012	0.12	0.029	0.047	0.015	0.282	0.0	0.763	0.003	0.88	0.073	2.749	0.129	0.36	1.792	0.083	0.285	0.202	0.006	0.599	0.103	0.004	0.311	0.017	0.076	0.0	2.507	0.094	0.025	0.114	0.01	3.565	0.023	0.048	0.01	0.0	0.309	0.091	0.0	0.143	0.019	0.142	0.089	0.199	0.035	0.114	0.067	0.133	0.176	0.053	0.674	0.044	0.077	0.311	0.026	0.011	0.327	0.688	0.682	0.198	0.0	0.018	0.161	0.007	0.009	0.055	0.019	0.255	0.002	0.081	0.027	0.045	0.0	0.031	0.061	0.181	0.076	0.065	0.041	1.65	0.004	0.198	0.004	0.026	0.486	0.309	0.0	0.008	1.963	0.031	0.12	0.008	1.459	0.01	0.017	0.101	0.009	3.329	0.005	0.021	0.021	0.023	0.045	0.009	0.362	1.023	0.158	0.062	0.181	0.118	0.411	0.001	0.048
17	19	0.009	0.014	0.007	2.404	1.647	0.023	0.009	0.0	0.517	0.398	0.608	0.0	0.101	0.0	0.071	0.028	0.002	2.431	0.0	0.59	0.117	1.527	0.029	0.053	0.222	0.045	0.152	0.588	0.045	0.03	0.116	0.0	0.094	0.305	0.001	0.0	0.0	0.008	0.081	0.0	0.034	0.037	0.227	0.0	0.137	0.006	0.351	0.069	1.852	0.228	0.12	1.445	0.02	0.295	0.058	0.015	0.465	0.004	0.006	0.157	0.007	0.016	0.013	1.848	0.073	0.0	0.005	0.001	2.367	0.016	0.039	0.035	0.0	0.112	0.143	0.0	0.033	0.007	0.027	0.022	0.05	0.003	0.269	0.056	0.014	0.315	0.169	0.312	0.07	0.017	0.066	0.004	0.0	1.063	0.158	0.404	0.153	0.009	0.03	0.209	0.387	0.0	0.009	0.011	0.146	0.004	0.052	0.044	0.099	0.043	0.027	0.013	0.148	0.123	0.018	0.007	0.42	0.0	0.241	0.012	0.031	0.246	0.108	0.0	0.068	0.588	0.007	0.063	0.0	0.769	0.004	0.016	0.157	0.037	1.395	0.0	0.0	0.031	0.023	0.089	0.02	0.076	0.511	0.034	0.021	0.03	0.158	0.873	0.0	0.006
18	20	0.0	0.037	0.002	1.914	2.144	0.003	0.019	0.0	0.657	0.573	0.697	0.113	0.019	0.004	0.02	0.004	0.013	3.532	0.0	0.514	0.189	0.852	0.011	0.066	0.637	0.156	0.153	0.12	0.085	0.016	0.105	0.0	0.022	0.383	0.004	0.019	0.0	0.011	0.17	0.018	0.115	0.078	0.363	0.0	0.114	0.003	0.125	0.071	1.726	0.18	0.131	1.083	0.002	0.298	0.126	0.004	1.032	0.033	0.048	0.219	0.017	0.089	0.0	2.129	0.156	0.008	0.065	0.003	2.638	0.031	0.033	0.012	0.0	0.097	0.12	0.0	0.547	0.005	0.021	0.028	0.124	0.017	0.284	0.087	0.051	0.522	0.098	0.315	0.136	0.059	0.54	0.029	0.0	0.99	0.313	0.486	0.087	0.0	0.04	0.152	0.096	0.026	0.02	0.008	0.298	0.049	0.093	0.035	0.063	0.016	0.001	0.044	0.243	0.034	0.044	0.22	0.621	0.03	0.41	0.0	0.023	0.312	0.233	0.0	0.073	1.651	0.015	0.048	0.0	0.478	0.006	0.02	0.056	0.037	3.059	0.0	0.029	0.065	0.031	0.045	0.006	0.266	0.692	0.232	0.011	0.094	0.163	0.818	0.003	0.015
19	21	0.0	0.0	0.006	1.711	1.473	0.001	0.035	0.0	0.529	0.602	0.557	0.009	0.009	0.003	0.042	0.014	0.025	2.054	0.0	0.385	0.094	1.496	0.031	0.004	0.372	0.057	0.107	0.142	0.029	0.0	0.058	0.0	0.052	0.167	0.002	0.005	0.0	0.001	0.134	0.008	0.061	0.022	0.11	0.0	0.064	0.003	0.141	0.031	1.886	0.034	0.061	0.595	0.007	0.238	0.134	0.012	0.712	0.021	0.0	0.105	0.009	0.086	0.003	1.39	0.024	0.003	0.028	0.001	2.002	0.041	0.025	0.033	0.0	0.026	0.058	0.0	0.126	0.042	0.012	0.007	0.107	0.026	0.192	0.066	0.032	0.135	0.027	0.248	0.027	0.021	0.182	0.007	0.009	0.403	0.328	0.357	0.152	0.001	0.011	0.103	0.038	0.006	0.044	0.033	0.335	0.034	0.054	0.018	0.024	0.023	0.011	0.022	0.287	0.05	0.065	0.098	0.472	0.001	0.128	0.0	0.021	0.166	0.13	0.006	0.04	2.029	0.001	0.056	0.0	0.489	0.014	0.022	0.14	0.02	2.817	0.0	0.054	0.027	0.006	0.028	0.002	0.151	0.821	0.054	0.036	0.004	0.18	0.261	0.006	0.015
