Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
spain	-0.002	-0.034	-0.022	0.026	-0.016	-0.035	-0.006	-0.043	0.004	0.085	-0.006	-0.012	-0.034	-0.008	0.022	-0.009	-0.011	-0.014	-0.007	-0.002	0.089	-0.016	-0.018	-0.014	0.053	-0.013	-0.011	0.064	0.006	-0.005	0.031	0.012	-0.008	-0.026	0.035	-0.015	-0.01	-0.014	-0.005	-0.017	0.005	-0.009	-0.021	-0.005	0.029	-0.012	-0.009	-0.024	-0.006	0.062	0.005	-0.009	0.263	0.023	-0.035	-0.009	-0.035	-0.015	-0.039	-0.011	-0.025	0.138	0.063	0.075	-0.037	-0.005	-0.006	-0.016	-0.021	-0.019	0.035	-0.002	-0.002	-0.052	-0.029	-0.014	0.055	-0.03	-0.052	-0.015	-0.007	-0.003	0.003	-0.006	-0.029	-0.018	-0.009	-0.005	-0.008	-0.022	-0.001	-0.008	-0.01	0.017	-0.011	-0.009	0.038	-0.021	-0.016	-0.005
door	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
selling	-0.037	-0.036	-0.015	-0.015	-0.011	-0.031	0.008	-0.045	-0.011	-0.028	-0.005	-0.018	-0.027	-0.008	-0.008	-0.006	-0.011	-0.01	-0.004	-0.013	-0.021	-0.015	-0.018	-0.013	-0.017	-0.012	-0.012	0.026	-0.009	-0.005	0.283	-0.005	-0.009	-0.029	-0.001	-0.01	-0.007	-0.015	-0.004	-0.011	-0.016	-0.014	-0.014	-0.003	-0.022	-0.008	-0.011	-0.022	-0.009	-0.021	-0.001	-0.006	-0.018	-0.018	-0.034	-0.006	-0.032	-0.01	-0.036	-0.007	-0.017	-0.019	0.026	-0.014	0.328	-0.007	-0.033	-0.004	-0.013	-0.012	-0.019	-0.002	-0.001	-0.042	-0.021	-0.012	-0.012	-0.024	-0.044	-0.01	-0.007	-0.002	-0.02	-0.004	-0.019	-0.014	-0.006	-0.007	-0.006	-0.014	0.01	-0.006	-0.007	-0.007	-0.009	-0.01	-0.028	-0.014	-0.012	-0.013
portugal	-0.033	-0.018	-0.014	-0.015	-0.011	-0.02	-0.006	-0.026	-0.012	0.022	-0.006	-0.01	-0.007	-0.005	-0.003	-0.006	-0.001	-0.011	-0.005	-0.005	0.127	-0.006	-0.019	-0.007	0.013	0.001	-0.003	0.018	0.003	0.011	0.039	0.001	-0.01	-0.009	0.017	-0.01	-0.007	-0.015	-0.004	-0.012	0.015	-0.004	-0.014	-0.003	0.039	0.065	-0.006	-0.004	-0.008	0.043	0.013	-0.006	0.004	-0.006	-0.005	-0.006	-0.023	-0.008	-0.015	-0.008	0.009	0.1	0.025	0.014	-0.017	-0.008	0.002	0.001	-0.015	-0.011	0.003	-0.002	-0.001	-0.035	-0.019	0.001	0.012	-0.022	-0.02	-0.01	-0.004	-0.002	0.017	-0.004	-0.02	-0.014	-0.007	-0.006	-0.004	-0.016	0.005	-0.006	-0.008	-0.016	-0.01	-0.011	0.027	-0.014	-0.012	-0.011
denmark	-0.026	-0.027	-0.01	-0.009	-0.008	-0.003	-0.005	-0.014	-0.007	0.012	0.012	-0.002	-0.016	-0.006	-0.002	-0.001	-0.005	-0.007	0.027	-0.009	0.015	-0.01	-0.007	-0.01	0.012	0.003	-0.001	0.057	-0.003	-0.004	-0.016	-0.003	0	-0.002	0.054	-0.007	-0.005	-0.01	-0.002	-0.008	-0.009	0.004	-0.01	-0.002	-0.002	-0.004	0.002	-0.007	-0.006	0.064	0.008	0.011	-0.003	-0.009	-0.016	-0.004	-0.006	-0.003	-0.014	-0.005	0.008	0.103	0.013	0.075	0.013	-0.005	0.001	0.001	-0.009	-0.002	0.006	-0.001	-0.001	-0.029	-0.015	0.02	0.013	-0.014	-0.027	0.011	-0.005	-0.001	0.011	-0.003	-0.012	-0.008	-0.004	0	-0.004	-0.01	-0.004	-0.004	-0.005	0	-0.004	-0.008	0.055	0.004	-0.008	-0.006
mineral	-0.001	0.003	-0.006	-0.006	-0.005	-0.012	-0.003	0.036	-0.005	-0.005	-0.002	0.003	0.028	-0.004	-0.005	-0.002	-0.005	-0.004	0.015	-0.003	-0.005	0.011	-0.002	-0.002	-0.003	0.02	-0.005	0.001	-0.004	-0.002	-0.015	-0.002	0.006	-0.007	0.045	-0.004	-0.003	-0.006	-0.001	-0.005	-0.007	0.028	-0.006	-0.001	0.001	0.005	0.024	-0.009	0.043	0.073	-0.004	0.006	0.009	0.012	-0.01	-0.002	0.007	0.067	0.007	-0.003	-0.008	-0.008	-0.008	-0.004	-0.012	-0.003	-0.008	0.013	-0.006	-0.001	-0.004	-0.001	0	-0.015	0.017	-0.005	0.008	0.021	-0.017	-0.004	-0.003	-0.001	-0.008	-0.002	-0.008	-0.006	-0.003	-0.003	-0.002	-0.006	-0.002	-0.002	-0.003	-0.011	-0.004	-0.004	-0.013	-0.006	-0.005	0.007
oil	-0.014	0.023	-0.019	0.012	-0.011	-0.034	-0.008	0.014	-0.014	0.016	-0.007	-0.015	-0.019	-0.012	0	-0.007	-0.009	-0.012	0	-0.011	0.03	0.003	-0.007	0.003	-0.01	-0.014	0.027	-0.007	0	-0.007	-0.031	-0.006	-0.007	-0.017	0.01	-0.012	-0.006	-0.019	-0.005	-0.014	-0.014	0.009	-0.011	-0.004	0.014	-0.007	-0.002	-0.009	-0.007	0.312	-0.01	0.002	0.012	0.022	0.063	-0.007	-0.022	0.018	-0.013	-0.003	-0.019	-0.024	0.078	-0.018	-0.029	0.006	-0.036	0.003	-0.011	-0.009	0.015	-0.002	-0.001	-0.053	-0.008	-0.011	-0.01	-0.002	0.063	-0.013	-0.006	0.039	-0.023	-0.005	-0.024	-0.01	-0.007	-0.009	0.021	-0.016	-0.005	-0.007	-0.009	-0.002	-0.01	-0.009	0.004	-0.015	-0.014	-0.002
diesel	-0.011	0.008	-0.005	-0.005	-0.004	-0.003	-0.002	0.04	-0.004	-0.002	-0.002	-0.002	-0.006	-0.003	-0.004	-0.002	-0.004	-0.003	0.02	-0.004	-0.004	0.024	0.014	-0.004	0.002	-0.004	-0.004	0.006	-0.003	-0.002	-0.012	-0.002	-0.003	-0.009	0.054	-0.003	-0.002	-0.005	-0.001	-0.004	-0.003	0.124	-0.005	-0.001	-0.006	0.008	-0.004	-0.006	-0.003	0.062	0	-0.002	0.007	0.007	-0.011	-0.002	-0.008	0.096	0.008	-0.002	-0.006	-0.007	-0.005	-0.003	-0.01	-0.002	0.004	0.003	-0.004	-0.003	-0.009	-0.001	0	-0.014	-0.005	-0.004	0.02	0.001	-0.015	-0.003	-0.002	-0.001	-0.004	-0.001	-0.006	-0.004	-0.002	-0.002	-0.002	-0.005	-0.002	-0.002	-0.002	-0.009	-0.003	-0.003	-0.01	0.004	0.008	-0.004
excise	-0.018	0.031	-0.007	-0.006	-0.006	-0.006	-0.004	0.061	-0.006	-0.007	-0.003	-0.002	0.021	0	-0.007	-0.003	-0.006	-0.005	-0.002	-0.001	0.006	-0.007	-0.006	-0.007	-0.002	-0.002	-0.006	0.003	0.001	-0.003	-0.018	0.003	-0.004	-0.014	0.104	-0.005	-0.003	-0.007	-0.002	-0.006	-0.008	0.113	-0.007	-0.002	-0.007	-0.004	0.047	-0.01	-0.004	0.059	-0.003	0.004	0.002	0.014	0	-0.003	-0.016	0.04	-0.009	-0.004	-0.007	-0.011	-0.005	-0.001	-0.015	-0.004	-0.009	0.044	-0.007	-0.007	-0.007	-0.001	0	-0.021	-0.002	-0.003	0.06	-0.005	-0.02	-0.005	-0.003	-0.001	-0.01	-0.002	-0.01	-0.004	-0.003	-0.003	-0.003	-0.006	-0.003	0.005	-0.003	-0.014	-0.005	-0.005	-0.013	0.007	0.014	-0.006
duty	-0.105	0.551	-0.043	0.005	-0.007	-0.032	-0.014	-0.092	-0.006	-0.059	-0.014	-0.05	-0.024	0.002	-0.027	-0.018	-0.029	-0.03	-0.01	-0.018	-0.049	-0.043	-0.045	-0.005	-0.049	-0.033	-0.033	-0.041	-0.021	-0.017	-0.042	-0.013	0.023	-0.002	-0.005	0.038	0.005	-0.006	0.019	-0.02	-0.032	-0.017	-0.042	-0.004	-0.058	-0.021	-0.017	-0.065	-0.007	-0.051	-0.028	-0.002	-0.037	-0.009	0.089	-0.01	-0.097	-0.019	-0.081	-0.022	-0.012	-0.065	-0.075	-0.038	-0.073	-0.02	-0.079	-0.018	0.03	-0.032	-0.048	-0.005	-0.003	0.103	0.04	-0.032	-0.03	-0.063	0.034	-0.026	-0.021	-0.005	-0.047	-0.009	-0.037	-0.04	-0.018	-0.02	-0.014	-0.025	-0.011	-0.012	-0.014	-0.071	-0.026	-0.015	-0.093	-0.039	-0.027	-0.038
rape	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fresh	0.04	-0.05	-0.018	-0.013	-0.007	-0.034	-0.006	0.052	-0.012	0.024	0.004	-0.016	-0.018	0.006	-0.016	-0.007	-0.015	-0.013	-0.001	-0.014	-0.009	-0.018	-0.013	-0.015	-0.017	-0.013	-0.015	0.046	-0.007	0.003	-0.044	-0.006	-0.011	-0.028	-0.012	-0.012	-0.008	-0.003	0.001	-0.013	-0.019	-0.017	-0.015	-0.004	-0.022	-0.008	-0.006	-0.023	-0.006	-0.025	-0.012	0	-0.012	-0.015	-0.003	0.005	0.052	-0.011	-0.026	-0.009	-0.013	-0.027	-0.028	-0.017	0.039	-0.009	0.201	0.003	-0.016	-0.016	0.002	-0.002	-0.001	-0.034	0.188	-0.012	-0.018	-0.019	-0.044	-0.012	0.013	-0.002	0.043	0.02	-0.01	-0.012	-0.007	0.005	-0.007	-0.014	0.001	-0.005	-0.008	-0.021	-0.008	-0.013	-0.037	-0.016	-0.014	-0.005
livestock	-0.013	-0.021	-0.007	0.007	-0.005	0.003	-0.004	0.032	-0.005	0.003	-0.002	0.017	-0.003	-0.004	-0.006	-0.003	-0.002	-0.005	-0.002	-0.006	0	0.007	-0.007	0.007	0.009	-0.005	-0.006	0.026	-0.002	0.004	-0.017	0	-0.004	-0.004	-0.005	0.003	-0.003	-0.007	-0.002	-0.002	-0.008	-0.007	-0.007	-0.001	0.049	-0.004	0	0.001	-0.004	-0.004	-0.005	-0.003	0.02	0.003	-0.006	-0.003	0.029	-0.005	-0.004	-0.003	-0.005	-0.007	-0.002	-0.007	0.019	0.006	0.05	-0.005	-0.006	0.001	-0.004	-0.001	0	-0.02	-0.01	-0.006	0.01	0.002	-0.018	-0.005	-0.003	-0.001	0.104	-0.002	-0.007	-0.006	-0.003	-0.003	0.002	-0.005	0.003	0.007	-0.003	-0.014	-0.004	0	-0.002	0.009	-0.006	-0.005
estonia	-0.017	-0.001	-0.003	0.011	-0.006	-0.004	-0.004	-0.009	-0.006	-0.008	-0.003	-0.007	0.027	-0.004	-0.007	-0.003	-0.006	-0.003	-0.002	-0.007	-0.01	-0.008	-0.008	-0.007	-0.009	-0.001	-0.006	-0.009	-0.005	0.004	-0.018	-0.003	-0.005	0.045	-0.005	0.009	-0.003	-0.004	0.027	-0.006	-0.006	-0.006	-0.006	-0.002	0.009	-0.004	-0.004	-0.003	-0.004	-0.006	-0.005	-0.003	-0.009	-0.001	0.017	-0.003	0.001	-0.005	-0.011	0.023	0.144	0.007	-0.013	0	-0.001	-0.004	0.009	-0.006	-0.007	-0.007	-0.012	-0.001	-0.001	0.001	-0.004	0.056	0.002	-0.013	-0.007	-0.005	0.023	-0.001	-0.001	-0.002	-0.001	-0.004	-0.003	0.009	-0.003	0	-0.003	-0.003	-0.004	0.009	-0.005	-0.005	0.005	0.005	-0.001	-0.007
competition	-0.045	-0.026	-0.017	0.024	-0.001	-0.008	0.012	-0.051	0.166	0.145	0.007	0.071	0.007	0.045	0.268	0	0.024	-0.004	-0.003	0.128	0.002	-0.003	-0.016	-0.011	-0.005	-0.006	0.036	-0.054	0.231	0.001	-0.044	-0.002	0.017	-0.015	0.055	-0.005	-0.008	-0.018	-0.004	-0.007	0.205	0.071	-0.012	0.008	-0.017	-0.001	0.055	-0.016	0.008	0.002	-0.007	0.057	0.054	0.26	-0.028	-0.001	-0.039	0.007	0.021	-0.002	-0.019	-0.025	0.372	0.04	-0.027	0.001	-0.033	0.02	-0.016	-0.008	-0.018	-0.002	-0.001	-0.046	-0.026	-0.01	-0.011	-0.017	-0.054	-0.012	0.001	-0.002	-0.017	-0.005	-0.024	0.026	-0.002	-0.001	-0.007	-0.003	0.003	0.012	-0.002	-0.016	-0.01	-0.008	0.017	0.03	0	-0.016
household	-0.019	0.016	-0.008	0.001	-0.006	0.006	-0.004	-0.007	-0.003	-0.015	-0.003	0.016	-0.012	-0.005	-0.001	0.005	-0.001	0	-0.002	0.016	0.002	-0.008	0.076	-0.007	-0.009	-0.003	-0.005	-0.02	-0.005	-0.003	-0.016	-0.003	-0.005	-0.015	-0.003	-0.005	-0.003	-0.004	0.076	-0.004	-0.002	0.128	-0.007	-0.002	-0.012	-0.004	-0.004	-0.001	0.002	-0.008	0.131	-0.003	-0.003	0.025	0.014	-0.003	-0.013	0.012	0.082	-0.004	-0.009	-0.011	0	0.016	-0.016	-0.004	-0.01	0.005	-0.002	0.063	-0.012	-0.001	-0.001	-0.015	0.02	-0.006	-0.008	0.006	-0.024	-0.003	-0.004	-0.001	-0.005	-0.002	-0.009	-0.007	-0.003	-0.001	-0.003	-0.008	0.004	-0.003	-0.004	-0.012	-0.005	-0.006	-0.004	0.004	0.017	-0.007
infringement	-0.021	0.003	-0.004	0.058	-0.005	0.028	-0.004	-0.024	0.023	0.063	-0.003	0.006	0.017	-0.003	0.098	0.002	0.006	-0.001	-0.002	0.082	0.002	-0.006	-0.009	-0.007	-0.004	-0.003	0.003	-0.029	0.084	-0.003	-0.02	-0.003	-0.001	-0.01	0.045	-0.005	0.01	-0.008	-0.002	-0.006	0.075	0.004	-0.007	-0.002	-0.01	0.007	-0.006	-0.011	0	0.002	-0.006	0.008	0.019	0.101	-0.016	-0.003	-0.014	0.001	0.009	-0.001	-0.008	-0.009	0.136	0.009	-0.013	-0.004	-0.016	-0.004	-0.007	-0.008	0.003	-0.001	-0.001	-0.017	-0.009	0.01	0	-0.005	-0.021	-0.005	-0.003	-0.001	-0.008	-0.002	-0.011	0.019	0	-0.001	-0.003	-0.004	-0.003	-0.003	-0.004	-0.009	-0.005	0.004	0.007	0.005	-0.006	-0.006
undertaking	-0.023	-0.012	-0.007	0.018	0.012	0	0.021	-0.026	0.038	0.051	0.017	0.035	0.007	0.044	0.196	-0.004	0.005	-0.006	0.003	0.058	-0.005	0.016	-0.008	-0.008	-0.009	-0.002	0.01	-0.029	0.262	0.013	-0.022	-0.003	-0.004	0.012	0.009	-0.003	-0.004	0.001	-0.002	-0.002	0.132	0.061	-0.005	-0.002	-0.012	0.054	0.036	0.023	0.021	-0.008	-0.001	0.017	0.002	0.088	-0.019	-0.003	-0.02	0.004	0.026	-0.004	-0.011	-0.014	0.131	0.012	-0.017	-0.004	-0.018	0.027	-0.008	-0.002	-0.004	-0.001	-0.001	-0.026	-0.013	-0.006	0	-0.007	-0.028	-0.006	0	-0.001	-0.01	-0.002	-0.012	0.038	-0.002	-0.004	-0.003	-0.002	0.001	0.008	-0.004	-0.007	0.011	0.001	0.007	0.004	-0.006	-0.006
ceramic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
quality	0.059	-0.046	-0.019	-0.007	-0.006	0.001	0.011	0.023	-0.011	0.038	0.027	-0.01	-0.018	0.006	-0.007	-0.008	-0.01	-0.014	0.014	-0.015	0.01	-0.01	0.094	-0.013	-0.007	0	-0.003	-0.018	-0.004	0.055	-0.024	-0.007	-0.008	-0.022	-0.013	-0.013	-0.002	-0.011	0.003	-0.013	-0.021	0.017	-0.017	0.001	-0.015	-0.007	-0.008	-0.011	-0.01	0.017	-0.002	0.008	-0.013	0.025	0.047	0.005	-0.02	0.014	0.071	0.001	-0.024	-0.029	-0.014	-0.019	0.038	-0.01	0.02	0.027	-0.016	0.197	0.038	-0.002	-0.001	-0.042	-0.019	-0.012	-0.013	0.056	-0.009	-0.014	0.027	0.019	-0.015	0.008	-0.024	-0.01	-0.008	-0.004	-0.008	-0.016	0.003	-0.002	-0.009	0.004	-0.01	-0.008	-0.03	0.006	-0.005	0.009
producer	-0.022	0.123	-0.016	-0.013	-0.012	-0.019	-0.002	-0.005	-0.012	-0.019	0.006	-0.017	-0.027	-0.003	-0.013	-0.005	0.018	-0.011	-0.005	-0.011	-0.018	-0.016	-0.013	-0.015	-0.006	-0.007	0.006	-0.004	-0.003	0.078	-0.035	-0.005	-0.01	-0.026	-0.005	-0.008	-0.007	0.232	0.018	-0.012	0.109	-0.014	-0.015	-0.003	-0.006	-0.008	-0.009	-0.004	-0.006	-0.017	-0.009	-0.006	-0.009	-0.007	0.012	-0.006	-0.033	0.003	0.004	-0.008	-0.019	-0.005	0.049	-0.015	-0.028	-0.008	-0.03	0.023	0.384	0.061	-0.015	-0.002	-0.001	-0.04	0.006	-0.01	-0.016	-0.012	-0.011	-0.011	-0.007	-0.002	-0.021	-0.004	-0.02	-0.009	-0.007	-0.007	0.001	-0.014	0	-0.002	-0.008	-0.016	-0.01	-0.004	0.03	-0.014	-0.003	-0.013
liability	-0.014	-0.02	0.01	0.023	-0.004	0.03	-0.003	0.018	-0.003	-0.007	-0.002	0.015	-0.008	0.014	-0.003	0.003	0.027	-0.004	-0.002	0.017	0.002	-0.005	0.003	-0.005	-0.006	0.009	0.058	-0.009	-0.003	-0.002	-0.012	0.011	-0.003	0.011	-0.004	-0.003	-0.002	0.002	-0.001	-0.004	-0.006	0.029	0.003	-0.001	-0.007	-0.003	0	-0.005	-0.003	0.005	0.003	-0.002	-0.007	0.006	-0.001	-0.002	-0.012	0.009	0.028	0.004	-0.007	-0.008	-0.009	-0.005	-0.009	0.173	0.001	0.016	-0.005	0.158	0.001	-0.001	0	-0.015	-0.008	-0.001	0.003	0.02	-0.017	0.009	-0.002	-0.001	-0.003	-0.001	-0.007	0.004	-0.002	-0.002	-0.002	0	-0.002	0.011	-0.003	0.028	0.002	-0.004	-0.007	-0.005	0.093	-0.005
prefabrication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
certification	-0.02	-0.013	-0.007	-0.007	0.016	0.01	-0.004	0.031	0.056	-0.005	0.008	0.004	0.007	0.036	-0.006	-0.003	0.015	-0.006	-0.002	-0.007	-0.005	-0.004	0.031	0.038	-0.009	0.002	-0.007	-0.026	0.004	0.107	-0.02	-0.003	-0.003	0.013	-0.006	-0.005	-0.004	-0.003	-0.002	0.044	-0.009	0.015	-0.003	-0.002	0.027	-0.004	0.02	-0.004	-0.005	-0.008	-0.006	-0.003	0.004	0.008	0.028	0.031	-0.009	0.003	0.041	0.002	-0.001	-0.012	-0.014	-0.008	-0.017	-0.003	0.012	-0.002	-0.008	0.067	-0.005	-0.001	-0.001	-0.008	-0.008	-0.007	-0.008	0.005	-0.025	-0.006	-0.002	-0.001	0.041	-0.002	-0.001	-0.007	-0.003	0.014	-0.003	0.008	-0.003	0.022	-0.004	0.035	-0.002	-0.005	-0.017	-0.001	0.043	0.042
construction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
insulation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wood	-0.018	0.004	-0.001	-0.005	0.046	0.009	-0.004	0.018	-0.005	-0.01	-0.002	0.01	-0.007	0	0.006	-0.003	0.005	-0.005	-0.002	-0.003	0.003	0.03	-0.002	0	-0.004	-0.005	-0.002	-0.004	-0.004	-0.003	-0.017	-0.002	-0.004	0.014	0.027	-0.005	-0.003	-0.007	-0.002	-0.005	-0.005	-0.001	0.007	-0.001	0.054	-0.004	-0.005	-0.007	0.001	-0.01	0.025	0.001	0.003	0.008	-0.006	-0.003	-0.013	-0.004	0.033	-0.003	0.005	-0.011	0	0.017	-0.014	-0.003	0.008	-0.004	-0.006	0.025	-0.012	-0.001	0	-0.01	0.015	-0.002	0.004	0.013	-0.014	-0.005	-0.003	-0.001	-0.007	-0.002	-0.009	0.02	-0.003	-0.003	-0.003	-0.002	-0.002	-0.003	-0.003	-0.011	0.003	-0.005	0	0.019	0.025	-0.006
regional	-0.044	-0.057	-0.014	-0.011	-0.012	0.063	-0.005	-0.046	0.009	0.007	-0.006	-0.002	0.006	-0.01	0.001	0.009	-0.001	-0.01	0.005	0.015	-0.001	-0.016	-0.017	-0.011	0.142	-0.008	-0.011	-0.029	0.036	-0.007	-0.042	0.012	-0.005	-0.024	0.007	-0.011	-0.003	-0.017	-0.004	0.001	0.094	-0.01	-0.017	-0.004	-0.01	0.002	-0.006	0.153	-0.006	-0.021	0.002	0.001	0.012	0.016	0	-0.007	-0.037	-0.01	-0.015	0.02	-0.002	-0.022	0.048	0.006	-0.014	-0.008	-0.038	-0.012	-0.016	-0.009	-0.029	-0.002	-0.001	-0.05	-0.025	-0.001	-0.005	-0.019	-0.049	-0.008	-0.002	-0.002	0.004	-0.005	-0.023	-0.009	-0.007	-0.008	-0.007	-0.01	0.025	-0.007	-0.008	-0.02	-0.009	-0.009	0.447	0.013	-0.014	-0.015
local	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
authority	-0.01	-0.015	-0.004	-0.004	-0.003	0.034	0.004	-0.005	-0.003	-0.005	-0.001	0.032	-0.002	0.005	0.001	-0.002	-0.003	-0.003	-0.001	0.013	-0.005	0.01	0.001	-0.004	-0.002	0.019	0.039	-0.009	-0.002	-0.001	-0.009	0.003	-0.002	-0.005	0.004	0.008	-0.002	-0.004	-0.001	-0.003	0.004	0.001	-0.003	-0.001	-0.006	-0.002	0.006	-0.001	0.033	-0.003	0.008	-0.002	-0.005	0.006	-0.009	-0.001	0.048	-0.003	0.031	-0.002	-0.004	-0.003	-0.007	-0.004	-0.008	-0.002	-0.005	0	-0.004	0.022	-0.003	0.161	0	-0.011	-0.003	0.033	0.019	0.011	-0.01	0.002	-0.002	0	0.008	-0.001	-0.005	-0.001	-0.002	-0.002	-0.001	-0.004	-0.001	-0.001	0.033	0.023	-0.002	-0.003	-0.006	0.06	-0.003	-0.003
euro	-0.02	-0.025	-0.002	0.007	-0.006	0.038	-0.004	-0.012	-0.005	0.001	-0.003	0	0.005	0.001	0.024	-0.003	-0.003	-0.006	-0.003	0.029	0.003	-0.008	-0.006	-0.008	-0.006	0.006	0.02	-0.003	0	-0.003	-0.016	-0.003	-0.005	0.002	0	-0.005	-0.004	-0.008	-0.002	-0.006	0.043	-0.007	-0.008	-0.002	-0.012	0.001	0.003	-0.004	0.003	-0.013	-0.006	0.01	0.021	0.005	-0.014	-0.003	-0.018	-0.005	0.016	-0.004	0.032	-0.013	0.006	-0.008	-0.011	0.016	-0.015	-0.006	-0.008	-0.007	-0.008	-0.001	-0.001	-0.024	-0.01	0.638	0.005	-0.011	-0.021	-0.006	0.003	-0.001	-0.008	-0.002	-0.009	0.124	0.008	0.002	-0.003	-0.005	-0.003	0.01	-0.004	-0.003	-0.005	-0.004	0.017	0.001	0.002	-0.007
saint	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pierre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miquelon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
