Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79
steel	-0.014	-0.006	-0.005	0.052	0.038	-0.007	-0.009	-0.009	0.031	-0.029	0.016	-0.007	-0.011	0.126	-0.01	-0.006	0.001	0.005	0.035	-0.006	-0.007	-0.017	-0.023	0.013	-0.002	-0.004	-0.005	0.029	0.021	0.044	-0.004	0.001	-0.008	-0.01	0.533	0.04	0.003	-0.015	-0.007	0.017	0.072	-0.028	-0.006	0.017	0.03	-0.029	0.069	0.013	-0.004	-0.01	-0.014	-0.006	0.007	0.022	-0.008	0.013	-0.003	-0.015	-0.039	-0.001	-0.024	0.021	0.005	-0.019	-0.002	-0.008	-0.019	0.002	-0.002	-0.004	-0.007	-0.006	0.004	-0.005	0.051	-0.006	-0.003	-0.004	-0.018	-0.009
industry	-0.018	0.029	-0.017	0.04	0.054	-0.002	0.008	-0.018	-0.048	-0.052	-0.011	-0.014	-0.021	0.038	-0.02	-0.015	0.009	-0.006	0.035	-0.01	-0.015	-0.012	-0.05	0.011	-0.004	0.043	-0.011	-0.006	0.023	0.012	-0.005	0.012	-0.006	0.001	0.241	0.042	0.017	-0.027	-0.012	0.027	0.003	-0.05	-0.01	0	0.185	-0.022	0.043	0.015	0.036	-0.021	0.006	-0.009	-0.005	-0.008	0.042	0.006	-0.008	-0.033	-0.019	0.01	-0.021	0.048	0.012	-0.019	0.001	-0.019	-0.062	-0.002	-0.005	0.018	-0.013	-0.012	-0.008	0.001	0.112	0.004	-0.006	-0.03	-0.043	0.09
working	0.026	-0.006	0.005	-0.009	-0.008	-0.007	-0.006	-0.003	-0.044	-0.04	0.001	-0.007	-0.013	-0.005	-0.013	-0.006	-0.056	-0.018	0.008	-0.006	-0.008	-0.006	0.002	-0.008	-0.002	-0.009	-0.007	-0.002	-0.006	-0.012	-0.002	-0.017	0.005	0.012	0.007	-0.005	0.037	0.015	-0.008	-0.008	-0.009	-0.03	-0.004	-0.005	0.721	-0.032	0.01	-0.011	0.003	-0.01	-0.009	-0.004	-0.007	-0.02	0.339	0.014	-0.003	-0.005	-0.038	-0.015	-0.025	-0.025	-0.001	-0.013	0.002	-0.008	-0.041	0.048	0.02	0.004	-0.008	-0.006	0.202	-0.005	-0.005	0.064	-0.003	-0.014	-0.018	-0.047
condition	0.228	-0.005	0.02	-0.016	-0.007	0.005	-0.007	0.005	-0.018	-0.031	0.029	0.027	-0.008	-0.005	-0.004	0.017	-0.003	-0.012	0.016	0	-0.005	0.012	0.005	-0.002	-0.001	0.01	-0.002	0.038	0.004	-0.009	-0.003	-0.008	0.013	0.007	0.021	0	0.004	0.003	0.001	-0.001	-0.007	-0.021	-0.005	-0.008	-0.007	-0.017	0.012	-0.004	-0.004	-0.006	0.011	0.007	0.045	-0.009	0.002	0.035	-0.003	-0.004	-0.026	-0.007	0.03	-0.019	0	-0.013	-0.002	-0.004	-0.028	0.005	-0.002	0.012	-0.006	0.001	0.217	0	-0.002	0	-0.002	-0.011	-0.015	0.02
provision	0.197	0.021	0.022	0	-0.008	0.092	-0.011	0.005	-0.086	-0.085	0.036	0.016	0.05	0.022	0.095	0.017	0.001	-0.028	0.027	0.029	-0.01	0.077	-0.037	0.056	-0.004	-0.017	0.031	0.237	0.022	-0.025	-0.003	0.293	0.056	-0.01	0.081	-0.002	0.064	-0.011	-0.008	0.06	-0.009	-0.056	0.035	0	-0.011	-0.056	0.005	-0.017	0.015	-0.019	-0.015	0.115	0.018	0.023	0.122	0.035	0.033	0.003	-0.07	0.214	-0.041	-0.053	0.012	-0.039	-0.002	-0.014	-0.085	0.065	0.006	0.029	0.002	0.086	0.233	-0.004	0.052	0.047	0.009	0.009	-0.04	-0.076
governing	0.133	-0.006	0.002	-0.03	-0.008	0.1	-0.009	-0.008	-0.067	-0.063	0.053	0.02	0.046	-0.005	0.132	0.011	0.001	-0.022	-0.024	0.015	-0.011	0.045	-0.036	0.007	-0.003	-0.019	0.004	0.312	0.016	-0.018	-0.005	0.349	0.072	-0.017	0.028	-0.013	0.03	-0.022	-0.005	-0.014	-0.012	-0.045	0.044	-0.018	-0.006	-0.049	0.007	-0.015	0.025	-0.014	-0.02	0.129	0.024	0.017	-0.001	0.04	0.04	0.02	-0.066	0.291	-0.037	-0.038	-0.021	-0.03	-0.003	-0.01	-0.064	0.017	-0.003	0.012	-0.005	0.122	0.129	-0.009	0.028	-0.005	0.008	-0.019	-0.029	-0.075
institution	0.15	-0.007	0.007	-0.03	-0.001	0.151	-0.011	-0.002	-0.075	-0.07	0.061	0.016	0.04	-0.005	0.117	0.014	-0.014	-0.026	-0.012	0.027	-0.011	0.063	-0.041	0.136	-0.003	-0.022	0.004	0.306	0.012	-0.02	-0.001	0.308	0.062	-0.019	0.023	-0.014	0.039	-0.025	-0.007	-0.009	-0.005	-0.051	0.038	-0.021	-0.006	-0.055	0.016	-0.013	0.021	-0.016	-0.017	0.153	0.022	0.013	0.005	0.04	0.042	0.04	-0.068	0.261	-0.039	-0.043	-0.019	-0.033	-0.004	-0.012	-0.071	0.028	-0.004	0.033	-0.004	0.121	0.126	-0.005	0.035	0.008	0.006	-0.013	-0.032	-0.08
social	0.057	-0.009	0.017	-0.027	-0.014	-0.008	-0.007	-0.01	-0.071	-0.068	-0.005	-0.011	0.031	0.007	0.523	0.005	-0.044	-0.024	0.043	0.003	-0.007	0.011	-0.024	0.025	-0.003	-0.01	0.007	0.051	0.029	-0.02	-0.001	0.008	0.01	-0.004	-0.008	-0.013	0.092	-0.016	-0.007	-0.002	-0.007	-0.049	-0.009	-0.017	-0.007	-0.052	-0.003	-0.012	-0.003	-0.013	-0.002	0.026	-0.008	-0.008	0.095	0.031	0.007	-0.019	-0.055	0.179	-0.015	-0.041	-0.012	-0.024	-0.001	-0.012	-0.069	0.138	0.01	0.008	-0.011	-0.008	0.495	-0.012	0.033	0.079	-0.001	-0.013	-0.031	-0.027
harmonisation	0.006	-0.009	0.005	-0.019	-0.001	0.004	0.019	0	-0.048	0.025	-0.002	0.009	-0.015	-0.008	-0.021	-0.009	0.106	-0.021	0.012	-0.009	-0.01	-0.015	-0.033	0.01	-0.002	0.02	-0.01	-0.004	0.004	-0.017	0	-0.008	0.024	0.087	0.001	0.012	-0.012	0.042	-0.011	0.187	-0.003	-0.035	-0.003	0.006	-0.013	-0.045	0.002	-0.004	0.006	-0.013	-0.006	-0.004	-0.009	-0.014	-0.023	0.005	-0.003	-0.015	0.131	-0.002	-0.034	-0.033	0.032	-0.027	-0.003	-0.012	-0.001	-0.007	-0.003	0.124	-0.011	-0.009	0.058	0.094	0.002	-0.002	-0.004	-0.019	-0.026	-0.06
standard	-0.002	-0.01	-0.015	-0.036	0.149	-0.008	0.022	-0.013	-0.091	-0.082	-0.002	-0.004	0.011	-0.011	-0.029	-0.016	-0.049	-0.007	0.003	-0.007	-0.015	-0.016	-0.045	0.032	0.006	0.206	-0.007	0.001	0.015	-0.018	-0.005	-0.032	-0.013	0.237	-0.008	0.074	-0.013	0.082	-0.012	-0.009	-0.009	-0.064	0.031	-0.013	-0.022	-0.031	-0.006	-0.008	0.005	-0.02	0.038	-0.008	-0.012	-0.026	-0.043	-0.006	0.006	-0.025	0.359	-0.006	0.063	-0.052	0.202	-0.027	0.001	-0.017	-0.079	-0.015	0.022	0.114	-0.017	-0.013	-0.007	0.046	0.035	-0.003	0	-0.022	-0.041	-0.1
european	0.202	0.027	0.027	0.087	-0.001	0.163	0.059	0.045	-0.094	-0.096	0.019	0.037	0.026	0.004	0.03	0.065	-0.085	0.034	0.02	0.025	-0.016	0.125	-0.05	0.069	-0.004	0.036	0.032	0.154	-0.007	-0.025	0.033	-0.027	0.001	0.04	0.018	0.02	0.045	-0.013	-0.01	-0.001	0.003	-0.066	0.006	-0.004	0.228	-0.063	0.054	0.036	0.05	-0.02	-0.007	0.073	0.067	0.165	0.179	0.054	0.044	0.042	-0.025	0.025	-0.028	-0.059	0.006	-0.041	-0.005	-0.016	-0.094	0.12	0.012	0.061	-0.015	0.151	0.122	0.059	0.026	0.024	0.004	0.02	-0.047	-0.082
policy	-0.014	0.061	0.01	0.171	-0.034	-0.005	-0.025	0.026	-0.102	0.29	-0.002	0.025	0.019	0.03	0.158	0.057	-0.054	-0.013	0.036	0.038	0.048	0.06	-0.11	-0.011	-0.01	-0.044	0.011	-0.048	-0.018	0.147	0.009	-0.007	-0.015	-0.034	0.06	-0.013	0.016	0.098	0.028	-0.033	0.086	-0.168	-0.007	0.018	-0.047	-0.107	0.018	-0.024	0.003	-0.033	-0.043	0.019	0.062	0.057	0.024	-0.012	-0.011	0.105	-0.163	-0.006	-0.099	-0.081	-0.08	0.199	0.003	0.024	-0.163	0.059	0.009	-0.015	0.017	-0.022	-0.022	-0.005	0.006	0.006	0.007	0.081	-0.101	-0.09
iron	-0.011	-0.005	-0.007	0.062	0.028	-0.005	-0.008	-0.007	-0.002	-0.024	-0.005	0.002	-0.01	0.148	-0.011	-0.005	0.009	0.008	0.018	-0.005	-0.006	-0.014	-0.019	0.013	-0.001	-0.003	-0.006	0.04	0.026	0.039	-0.003	0.002	-0.006	-0.008	0.501	0.043	0.005	-0.013	-0.007	-0.001	0.037	-0.023	-0.005	0.007	0.035	-0.024	0.082	0.015	-0.004	-0.008	-0.013	-0.005	0.005	0.032	-0.002	0.005	-0.003	-0.012	-0.034	0.002	-0.02	0	0.009	-0.016	-0.002	-0.007	-0.014	-0.003	-0.002	-0.007	-0.007	-0.006	0.003	-0.004	0.052	-0.006	-0.002	-0.001	-0.016	-0.002
expenditure	0.167	-0.002	-0.01	-0.01	-0.009	-0.011	-0.004	-0.012	-0.05	-0.047	-0.007	-0.005	-0.015	-0.007	0.008	0.144	-0.052	-0.002	-0.031	-0.008	-0.009	-0.005	-0.027	0	-0.002	-0.015	0.015	0.029	-0.005	-0.014	-0.003	0.105	0.011	-0.013	-0.001	-0.01	-0.006	-0.017	-0.009	-0.007	-0.01	-0.033	0	-0.01	0.425	-0.02	-0.005	-0.011	-0.005	-0.011	-0.016	-0.007	-0.008	0.021	0.462	-0.008	-0.004	-0.002	-0.047	-0.001	-0.027	-0.029	0.019	-0.018	-0.002	-0.005	-0.047	0.001	-0.002	-0.006	-0.009	-0.008	-0.007	-0.009	-0.018	0.006	0.001	-0.015	-0.022	-0.031
common	0.034	-0.01	0.015	-0.015	-0.015	-0.008	-0.004	-0.021	-0.072	0.058	-0.015	0.029	0.043	0.014	-0.031	-0.015	-0.032	-0.012	0.159	0.019	0.115	0.081	0.037	-0.001	0.016	-0.02	0.008	0.011	-0.013	-0.019	-0.006	0.008	-0.008	-0.021	-0.022	-0.014	0.006	0.001	0.062	-0.023	-0.008	0.005	-0.003	0.005	-0.025	-0.087	-0.006	0.008	0.005	-0.004	0.035	0.032	0.092	-0.002	0.04	0.006	-0.008	0.23	-0.101	-0.002	-0.011	-0.062	-0.014	0.01	0.015	0.056	0.008	0.012	0.005	-0.012	0.057	-0.008	-0.028	0.006	-0.009	-0.01	-0.009	0.077	-0.047	-0.014
