Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119
management	-0.074	0.013	-0.001	-0.01	-0.018	-0.011	-0.012	0.01	-0.016	0.01	0.009	-0.01	-0.033	-0.008	-0.015	0.001	0.013	0.083	0.006	0.03	0.005	-0.004	-0.01	0.024	-0.048	-0.042	-0.001	-0.005	-0.009	0.001	-0.006	-0.015	-0.004	-0.006	0.107	-0.002	0.013	0.002	-0.01	-0.016	-0.006	-0.008	-0.006	0.215	0	-0.057	0.064	-0.005	-0.006	-0.016	0.023	-0.005	-0.002	0.016	-0.047	-0.002	-0.008	0.022	-0.004	0.03	-0.011	-0.003	0.002	0.011	-0.005	0.016	-0.031	0.016	0.135	0.044	-0.013	-0.006	-0.012	-0.007	0.023	0.048	0.123	-0.006	0.009	-0.013	0.141	-0.039	-0.005	0.003	-0.04	-0.001	0.007	-0.005	-0.004	-0.007	-0.007	0.03	0.047	0.015	0.009	-0.002	-0.002	-0.008	-0.011	-0.017	-0.029	-0.027	-0.008	-0.012	0.006	-0.002	0.018	0.003	-0.001	-0.002	-0.01	-0.017	0.019	-0.004	0.013	-0.002	-0.004	0.034	0.003	-0.002
packaging	-0.026	-0.005	0.003	-0.005	-0.005	0.005	-0.001	0.022	-0.012	0.053	0.017	-0.005	-0.006	-0.004	-0.006	-0.002	-0.005	0	-0.003	0.005	-0.006	-0.002	-0.001	-0.006	-0.016	-0.023	0.001	-0.003	-0.003	0.038	-0.013	-0.006	0.043	-0.003	0.051	-0.001	-0.007	-0.004	-0.004	-0.007	-0.002	-0.004	-0.002	-0.007	-0.009	-0.021	0	-0.005	0.002	-0.008	-0.002	-0.002	-0.001	-0.007	-0.003	0.001	-0.003	0.026	-0.002	-0.007	-0.005	-0.001	-0.007	0.001	0.044	-0.004	-0.016	0.01	-0.005	0.038	-0.003	0.021	-0.003	-0.005	-0.002	0.033	-0.01	0.001	0.109	0.011	-0.015	0.072	0.001	-0.005	-0.014	-0.004	0	-0.002	-0.006	0.001	-0.003	0.014	-0.006	-0.005	-0.007	-0.005	0.029	0.077	-0.006	-0.006	-0.008	0.018	0.02	-0.004	-0.004	0.001	-0.003	0.031	-0.006	0.002	0.005	-0.009	-0.002	-0.002	-0.002	-0.001	0.052	0.001	-0.003	-0.003
pharmaceutical	-0.058	-0.009	0.027	-0.009	-0.008	-0.023	-0.006	-0.015	-0.023	0.007	0.003	-0.009	-0.024	-0.008	-0.011	-0.004	-0.009	-0.008	-0.006	0	-0.013	0.008	-0.017	0.007	-0.037	-0.045	-0.013	-0.006	-0.009	0.336	-0.02	-0.008	-0.006	-0.005	-0.01	-0.001	-0.013	-0.009	0.023	-0.011	-0.003	-0.007	0.006	-0.012	0.015	-0.01	-0.001	-0.008	-0.008	-0.015	0.006	-0.004	-0.001	-0.022	-0.025	-0.001	-0.006	-0.015	-0.003	-0.022	-0.009	-0.002	-0.013	0	0.012	-0.007	-0.029	0.016	-0.002	0.006	0.083	-0.005	-0.011	-0.004	-0.012	0.003	-0.018	-0.003	-0.006	-0.013	-0.025	0.141	-0.013	-0.019	-0.022	-0.008	-0.006	-0.004	-0.012	-0.005	-0.005	-0.015	-0.007	-0.023	-0.011	-0.008	0.002	-0.006	-0.009	-0.011	-0.029	-0.019	-0.007	-0.009	-0.006	-0.01	-0.002	-0.006	-0.011	-0.002	-0.011	-0.016	-0.014	-0.003	-0.003	-0.001	0.007	-0.01	-0.005	0.01
approval	-0.088	0.004	-0.002	0.012	-0.021	-0.033	0.013	-0.022	-0.026	0.108	-0.011	-0.012	-0.036	-0.011	-0.016	0.012	-0.009	-0.003	-0.009	0.009	-0.012	0.01	-0.024	-0.013	-0.055	-0.112	-0.021	-0.009	-0.006	0.357	-0.006	-0.016	-0.009	-0.006	-0.015	-0.002	-0.018	0.018	0	-0.016	0.027	-0.011	0	-0.019	0.015	-0.058	-0.018	-0.01	0	-0.006	-0.007	-0.005	-0.002	0.021	-0.056	-0.004	0.064	0.068	-0.005	0.002	-0.013	-0.004	-0.011	-0.009	-0.004	-0.006	-0.044	-0.007	-0.014	-0.011	0	-0.007	-0.007	-0.012	-0.015	-0.01	-0.023	-0.005	-0.003	-0.009	-0.039	0.293	-0.005	-0.004	-0.044	0.001	-0.019	-0.006	-0.006	0.123	-0.008	-0.018	-0.014	-0.025	-0.006	-0.015	0.006	-0.005	-0.017	-0.016	-0.046	-0.033	-0.016	-0.014	-0.012	-0.004	0	0.156	-0.016	0.001	-0.003	-0.013	-0.02	0	0	-0.002	-0.005	-0.015	-0.002	-0.008
commercial	-0.083	0.045	-0.022	-0.023	-0.031	-0.01	-0.01	0.028	-0.04	-0.034	-0.02	-0.01	-0.012	-0.02	-0.019	-0.011	0.022	-0.002	-0.004	0.002	0.005	0.004	0.022	-0.028	-0.055	0.02	-0.023	0.065	0.01	-0.024	0.272	-0.029	0.007	0.009	-0.021	-0.003	-0.025	-0.017	-0.016	-0.022	0.009	-0.01	0.003	0.001	0.001	-0.105	-0.03	0.022	-0.004	-0.031	0.001	-0.004	-0.003	-0.052	0.201	0.02	0.122	0.034	0.003	-0.017	-0.023	0.006	-0.027	0.035	-0.01	0.024	0.036	0.012	-0.023	0.024	0.003	-0.002	0.001	-0.015	-0.007	-0.021	-0.043	-0.011	-0.015	0.039	-0.057	-0.07	-0.03	-0.041	0.037	0	-0.01	0.01	0.005	-0.024	-0.004	-0.001	-0.011	0.13	-0.006	-0.008	-0.019	-0.003	-0.009	0.038	-0.05	0.25	0.216	-0.004	-0.01	-0.024	-0.008	0.035	-0.024	0.037	-0.006	0.057	-0.017	-0.002	-0.009	-0.003	-0.006	-0.012	-0.008	0.015
sheet	0.033	0.01	-0.01	-0.008	-0.013	-0.004	-0.01	-0.011	0.168	-0.006	0.008	-0.008	0.05	-0.007	-0.008	-0.004	-0.008	0.001	-0.005	-0.014	-0.016	-0.002	-0.018	-0.014	-0.03	0.051	0.021	0.025	-0.012	-0.028	-0.021	-0.01	-0.005	0.002	-0.015	-0.001	-0.011	-0.01	-0.007	-0.01	-0.007	-0.006	-0.004	-0.011	-0.015	0.045	-0.013	-0.007	-0.007	-0.01	-0.004	-0.002	-0.001	-0.019	-0.013	-0.008	-0.006	-0.011	-0.003	-0.023	-0.008	-0.002	0.007	0.002	-0.004	-0.006	-0.012	-0.003	-0.009	-0.009	-0.011	-0.004	-0.007	-0.008	0.014	-0.017	-0.016	-0.002	-0.005	-0.016	-0.022	-0.019	-0.008	-0.008	-0.024	-0.007	-0.01	-0.004	-0.01	-0.01	0.004	-0.014	-0.01	-0.024	-0.009	-0.007	-0.009	-0.005	-0.009	0.426	-0.009	-0.003	-0.004	-0.008	-0.007	0.036	-0.004	-0.015	-0.01	-0.003	-0.007	-0.014	-0.012	-0.003	-0.003	-0.001	-0.003	-0.008	-0.004	-0.005
complaint	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
commission	-0.031	0.009	-0.002	-0.004	-0.008	0.011	-0.007	-0.01	-0.013	-0.002	0.009	0.001	-0.013	-0.002	-0.006	-0.003	0.013	-0.005	0.016	0.096	0.018	-0.002	-0.013	0.007	-0.021	-0.003	-0.002	-0.004	0.013	-0.001	-0.009	-0.001	0.01	-0.003	-0.011	-0.001	0.095	0.041	-0.005	-0.008	-0.005	0.024	-0.003	-0.008	-0.01	-0.018	0.074	0.031	-0.003	-0.001	-0.003	0.067	-0.001	0.003	-0.019	0	-0.004	-0.01	-0.002	-0.01	-0.005	-0.002	0.044	0.034	-0.003	-0.004	-0.011	0.031	-0.003	0.019	-0.002	0.007	-0.001	0.004	0.006	0.001	-0.012	0	-0.004	-0.009	0.035	-0.016	0.007	-0.004	-0.005	0.011	0.003	-0.003	0.032	0.002	-0.003	0.005	0.038	-0.005	0.014	0.004	0.002	-0.001	0.006	-0.001	0.002	0.016	0.064	-0.005	-0.003	-0.004	0.03	-0.01	-0.003	0.001	0.025	-0.008	0.033	-0.002	-0.002	0.026	-0.002	0.023	-0.003	-0.004
brazil	-0.008	-0.005	-0.006	-0.004	-0.004	0.022	-0.006	0	-0.011	-0.008	-0.004	0.005	-0.014	-0.004	-0.004	0.005	-0.004	0.006	-0.003	-0.001	-0.005	-0.001	0	0	-0.013	-0.017	0	-0.003	0.002	-0.012	0.031	-0.005	-0.003	-0.002	-0.009	-0.001	0.001	-0.004	-0.002	-0.002	-0.004	-0.003	-0.002	-0.006	-0.004	-0.011	-0.006	-0.004	-0.004	0.019	-0.002	-0.002	-0.001	-0.009	0.016	-0.002	-0.003	-0.007	-0.002	0.003	-0.005	-0.001	-0.007	0.035	-0.002	0.003	0.016	0.003	-0.005	0	-0.006	-0.002	0.01	-0.005	-0.006	-0.003	-0.009	-0.003	-0.003	-0.005	-0.013	0.01	-0.008	-0.005	0.021	-0.004	-0.005	-0.002	0.007	-0.006	-0.002	-0.002	-0.005	-0.004	0.091	-0.003	-0.005	-0.003	-0.005	-0.007	-0.012	0.025	0.045	-0.005	-0.004	-0.007	-0.003	-0.007	-0.006	-0.003	-0.005	-0.008	0.001	-0.002	-0.002	-0.001	-0.002	-0.005	-0.002	-0.003
trade	-0.091	0.004	0.046	0.018	-0.018	0.079	0.109	0.005	0.059	-0.021	0.017	0.012	-0.028	-0.008	-0.002	-0.002	0.034	-0.014	-0.007	-0.009	0.073	-0.006	0.059	0.008	-0.057	-0.042	-0.01	0.01	0.036	0	0.257	-0.022	0.01	0.004	0.001	0.027	-0.01	-0.007	0.115	0.02	0.001	0.006	0.03	-0.02	0.009	-0.056	-0.021	0.054	0.012	0.052	0.006	-0.005	0.011	-0.004	-0.02	0.007	0.067	-0.016	-0.003	0.065	-0.017	-0.005	-0.009	0.015	-0.004	0.015	-0.015	0.037	-0.013	0.001	0.002	0	0.037	-0.016	-0.004	0.009	-0.033	0.013	-0.009	0.013	-0.039	0.023	-0.018	0.003	0.089	0.007	0.057	0.023	0.024	0	0.01	0.017	0.002	0.041	0.018	0.01	0.016	0	0.007	-0.018	-0.052	-0.035	0.01	0.071	-0.011	-0.011	0.002	-0.011	0	-0.001	-0.008	0.011	0.018	-0.006	0.002	-0.002	0.004	0	-0.009	0.008
protective	-0.015	0.003	0.013	-0.004	-0.006	-0.002	-0.004	-0.009	-0.005	-0.006	-0.001	0.004	0.008	-0.002	-0.006	-0.002	-0.003	-0.004	-0.003	0.002	-0.006	-0.001	-0.01	-0.008	-0.017	-0.002	-0.002	-0.003	-0.002	0.006	0.014	-0.005	-0.003	0.011	-0.005	-0.001	-0.006	-0.006	-0.004	-0.006	-0.002	-0.003	0.003	0.003	0.009	-0.018	-0.009	0.014	-0.004	-0.006	0.115	-0.002	-0.001	-0.011	0.046	0.003	-0.003	-0.004	-0.002	0.014	-0.003	-0.001	-0.004	0.011	-0.002	-0.003	0.013	0.022	0.001	0.016	-0.006	0.004	-0.001	-0.005	-0.005	-0.012	-0.009	-0.003	-0.003	-0.002	-0.013	-0.018	-0.006	-0.001	0.022	-0.004	-0.004	-0.002	0.007	-0.004	-0.002	-0.007	-0.005	-0.009	-0.006	-0.003	-0.005	-0.003	-0.005	-0.007	-0.004	0.005	0.048	-0.005	-0.004	-0.001	-0.003	0.052	-0.002	-0.001	-0.005	0.028	0.009	-0.002	-0.002	-0.001	-0.002	-0.001	-0.002	-0.003
measure	-0.044	-0.008	0.002	-0.001	-0.016	-0.004	-0.011	-0.002	-0.021	0.032	0	-0.005	-0.016	-0.002	-0.013	-0.005	0.007	0.01	-0.007	0.035	-0.007	-0.003	-0.012	-0.003	-0.007	0.023	0.138	0.091	-0.006	-0.004	-0.013	-0.013	0.018	-0.001	-0.012	0.047	-0.015	0.034	-0.01	-0.014	-0.007	-0.008	-0.003	-0.002	0.016	-0.023	-0.005	0.005	-0.006	-0.016	-0.002	-0.004	-0.001	0.001	0.033	-0.004	-0.007	0.043	-0.004	0.004	-0.008	-0.003	-0.011	0.018	0.008	-0.008	0.038	0.036	-0.009	0.009	-0.014	-0.003	-0.011	-0.008	0.005	0.047	-0.019	-0.006	-0.007	-0.007	-0.012	-0.034	-0.016	0.033	-0.014	-0.008	-0.007	0.004	-0.008	-0.014	-0.001	0.013	-0.003	-0.01	-0.005	-0.005	-0.001	-0.007	0	-0.016	0.027	0.089	0.089	-0.006	-0.002	0.02	-0.006	0.016	0.01	0.002	0.014	-0.008	-0.006	-0.004	0.039	-0.001	-0.004	-0.005	-0.003	-0.007
world	0.013	-0.006	-0.011	-0.009	-0.012	-0.023	-0.012	-0.016	-0.024	-0.016	-0.014	-0.005	-0.028	-0.008	-0.011	-0.004	-0.005	-0.008	-0.006	-0.017	-0.015	-0.003	-0.008	-0.014	-0.034	-0.022	-0.007	-0.006	-0.009	-0.03	0.015	-0.011	-0.006	-0.003	-0.016	-0.001	-0.005	-0.009	-0.002	-0.013	0.01	-0.006	-0.005	-0.007	-0.016	-0.058	-0.015	-0.009	0.003	-0.015	-0.004	-0.004	-0.001	-0.023	-0.022	-0.008	0.018	-0.016	-0.003	-0.023	0.848	-0.002	-0.013	0.016	-0.004	0.007	-0.018	0.006	-0.01	-0.017	-0.013	-0.005	-0.005	-0.009	-0.011	-0.022	-0.018	-0.005	-0.006	-0.012	-0.027	-0.038	-0.015	-0.018	0.03	-0.008	-0.01	0.016	-0.011	-0.013	-0.005	-0.013	-0.011	-0.006	-0.011	-0.008	-0.011	-0.006	-0.011	0.299	-0.024	-0.022	-0.002	-0.009	-0.008	-0.009	0.012	-0.018	-0.008	-0.006	-0.011	-0.013	-0.008	-0.003	-0.003	-0.001	-0.003	-0.008	-0.005	-0.006
organization	-0.008	-0.004	-0.005	-0.004	0	-0.004	-0.005	-0.003	-0.002	-0.005	-0.007	0.001	-0.008	-0.003	-0.005	-0.002	-0.003	-0.004	-0.003	-0.009	-0.002	-0.001	0.006	-0.006	-0.01	0.005	0.002	-0.003	-0.001	-0.009	0.045	-0.005	0.006	-0.002	-0.003	-0.001	-0.006	-0.005	0	-0.006	-0.004	-0.003	-0.002	0.009	-0.005	-0.014	-0.008	-0.004	0.02	-0.007	-0.002	0.004	-0.001	-0.01	0.014	-0.003	0.051	-0.005	-0.001	0.007	-0.004	-0.001	-0.006	0.048	-0.002	0.006	0.021	0.025	-0.004	0.001	-0.006	-0.002	0	-0.004	-0.004	-0.003	-0.008	-0.002	-0.003	0.007	-0.011	-0.014	-0.003	0.001	0.062	-0.004	-0.003	-0.002	-0.004	-0.006	-0.002	0.001	-0.005	0.035	0.001	-0.002	-0.005	-0.003	-0.005	-0.002	0.001	-0.01	0.025	-0.004	-0.002	0.005	-0.002	-0.006	-0.005	-0.003	-0.005	-0.007	0.004	-0.001	-0.002	-0.001	-0.001	0.001	-0.002	-0.003
goat	-0.016	-0.005	0.009	-0.004	-0.007	0.028	-0.007	0.001	0.016	-0.009	0.013	0.001	-0.011	-0.005	-0.006	-0.002	-0.004	-0.005	-0.003	-0.01	-0.01	-0.002	-0.008	-0.009	-0.022	0.006	-0.008	-0.003	-0.006	-0.012	-0.004	-0.007	0	-0.003	-0.002	-0.001	-0.008	-0.007	-0.004	0.05	0.003	-0.004	-0.003	-0.007	-0.006	0.004	-0.004	-0.005	0	-0.008	-0.003	0.042	-0.001	-0.004	0.004	0.012	0.004	-0.005	-0.002	0.036	-0.005	-0.001	-0.008	-0.004	-0.002	-0.004	0.006	-0.004	-0.006	0.011	-0.007	0.007	-0.006	-0.005	-0.006	0.026	-0.011	0	-0.003	0.041	-0.015	0.046	0.008	0.081	-0.012	0.014	-0.009	-0.002	-0.006	-0.007	-0.003	0	-0.006	-0.007	-0.006	0.074	-0.005	-0.004	-0.004	-0.006	-0.001	-0.013	-0.014	-0.005	-0.005	-0.003	-0.003	-0.008	-0.007	-0.004	-0.006	-0.001	-0.008	-0.002	-0.002	-0.001	-0.002	-0.002	-0.003	-0.003
sheepmeat	-0.009	-0.006	0.002	0.007	0.022	0.028	-0.008	0.012	0.008	-0.01	0.004	0.01	-0.015	-0.005	-0.006	-0.003	-0.005	-0.006	-0.004	-0.004	0	-0.002	-0.005	-0.011	-0.024	0.031	0.003	-0.004	-0.002	-0.018	-0.008	-0.008	-0.004	-0.003	0.009	-0.001	-0.009	-0.006	-0.006	0.004	-0.003	-0.005	-0.003	-0.007	0.005	0.003	-0.001	-0.006	-0.003	-0.01	-0.003	0.036	-0.001	-0.002	0.001	0.009	0.002	-0.007	-0.002	-0.009	-0.005	-0.002	-0.008	-0.005	-0.003	-0.005	0.051	0.001	-0.007	-0.004	-0.009	0.004	-0.006	-0.004	-0.009	0.021	-0.013	0.001	-0.004	0.01	-0.015	0.006	0.005	0.091	-0.015	-0.004	-0.01	-0.003	-0.005	-0.006	-0.004	0.002	-0.008	-0.003	-0.008	-0.002	-0.007	-0.004	-0.003	-0.005	0.004	-0.013	-0.011	-0.006	0.009	-0.009	-0.004	-0.013	-0.008	-0.004	-0.002	-0.004	-0.001	-0.002	-0.002	-0.001	-0.002	0.002	-0.003	-0.004
goatmeat	-0.007	-0.006	0.003	0.007	-0.001	0.03	-0.008	0.013	0.009	-0.01	0.005	0.01	-0.014	-0.005	-0.008	-0.003	-0.005	-0.005	-0.004	-0.009	0	-0.002	-0.004	-0.01	-0.023	0.031	0.003	-0.004	-0.001	-0.017	-0.008	-0.008	-0.004	-0.003	0.01	-0.001	-0.009	-0.006	-0.006	0.005	-0.003	-0.005	-0.003	-0.006	0.006	0.005	0	-0.006	-0.003	-0.009	-0.003	0.037	-0.001	-0.01	0.003	0.01	0.002	-0.006	-0.002	-0.008	-0.005	-0.002	-0.008	-0.005	-0.003	-0.005	0.053	0.002	-0.007	-0.003	-0.009	0.005	-0.006	-0.004	-0.008	0.022	-0.013	0.001	-0.004	0.009	-0.015	0.006	0.005	0.094	-0.015	-0.003	-0.01	-0.003	-0.004	-0.005	-0.003	0.002	-0.007	-0.002	-0.008	-0.002	-0.007	-0.004	-0.002	-0.005	0.005	-0.013	-0.014	-0.006	0.009	-0.01	-0.003	-0.012	-0.008	-0.004	-0.002	-0.004	0	-0.002	-0.002	-0.001	-0.002	0.003	-0.003	-0.004
sheep	-0.036	-0.007	0.004	0.037	0.008	0.079	-0.009	-0.005	0.002	-0.013	0.011	0	-0.02	-0.006	-0.009	-0.002	-0.006	-0.007	-0.005	-0.01	-0.01	-0.002	-0.013	0.003	-0.031	0.003	-0.012	-0.005	-0.007	-0.019	-0.013	-0.009	-0.002	-0.004	0.099	-0.001	-0.011	-0.009	-0.006	0.078	0.002	-0.006	-0.004	-0.01	0.001	0.007	-0.01	-0.007	-0.001	-0.012	-0.004	0.03	-0.001	-0.012	-0.014	0.005	0	-0.01	-0.003	0.085	-0.007	-0.002	-0.011	-0.003	0.013	-0.005	-0.006	-0.006	-0.008	-0.007	-0.01	0.003	-0.009	-0.007	-0.01	0.019	-0.013	-0.002	-0.005	0.022	0.04	0.067	-0.005	0.1	-0.017	0.005	-0.012	-0.003	-0.007	0.007	-0.004	-0.005	-0.009	-0.009	-0.01	0.037	-0.008	-0.003	-0.007	-0.01	-0.007	-0.018	-0.017	-0.007	-0.005	-0.008	-0.004	-0.011	-0.009	-0.005	-0.001	-0.006	-0.011	-0.003	-0.003	-0.001	-0.003	-0.008	-0.004	-0.005
production	0.01	0.009	-0.015	-0.021	0.365	-0.011	-0.016	-0.018	-0.006	0.032	0.012	-0.017	0.024	-0.016	-0.022	-0.01	-0.021	0.031	-0.009	-0.002	-0.011	-0.007	-0.045	-0.003	-0.064	0.092	-0.02	-0.013	-0.023	-0.031	-0.05	-0.027	0.01	-0.012	0.044	-0.003	-0.03	0	-0.019	-0.017	-0.017	-0.017	-0.009	-0.019	0.003	-0.029	-0.028	-0.01	-0.015	-0.036	-0.002	-0.003	-0.003	-0.044	-0.067	-0.015	-0.013	0.011	-0.008	-0.013	-0.018	0.011	-0.022	-0.017	0.035	-0.012	-0.046	-0.005	-0.022	-0.003	0.017	0	0.007	-0.022	-0.027	0.011	-0.04	-0.012	-0.008	0.051	-0.009	-0.009	0.161	0.106	-0.067	-0.007	-0.017	-0.01	-0.028	-0.004	-0.009	-0.014	-0.024	-0.028	-0.028	0.026	-0.01	-0.008	-0.022	0.07	0.109	-0.052	0.004	-0.02	-0.005	0.082	0.008	-0.025	-0.026	-0.007	0.008	-0.034	-0.009	0	-0.005	-0.003	0.003	0.024	-0.012	0.056
pigmeat	-0.021	-0.01	-0.009	-0.009	0.02	0.019	-0.013	0.022	-0.018	-0.016	0.016	-0.01	-0.016	-0.004	-0.013	-0.005	-0.01	-0.008	-0.004	-0.021	-0.004	-0.003	0.045	-0.015	0.001	0.058	-0.016	0.018	-0.014	-0.022	-0.002	-0.013	-0.004	-0.006	0.009	-0.001	-0.015	-0.012	-0.009	0.015	0.002	-0.008	-0.005	-0.015	0.012	0	-0.019	0.002	0.007	-0.015	-0.005	-0.004	-0.001	-0.011	-0.03	-0.007	0.013	0.006	-0.004	0.008	-0.009	-0.003	-0.012	-0.006	-0.005	-0.007	0.163	-0.008	-0.011	-0.011	-0.014	0.021	-0.004	-0.007	-0.011	-0.017	-0.02	-0.006	-0.004	-0.009	-0.031	0.031	0.02	0.015	-0.021	-0.009	-0.016	-0.005	-0.008	-0.001	-0.006	0.009	-0.012	0.028	-0.014	0.015	-0.011	-0.005	-0.008	0.017	-0.01	-0.025	-0.022	-0.01	-0.009	-0.016	-0.006	-0.021	-0.013	-0.007	0.004	-0.016	-0.014	-0.004	0.011	-0.001	-0.004	-0.007	-0.006	-0.006
area	-0.093	0.009	-0.017	-0.011	-0.02	-0.027	-0.016	-0.016	0.004	-0.002	0.005	-0.015	-0.046	-0.013	-0.014	-0.007	-0.001	0.035	-0.01	-0.008	-0.022	-0.005	-0.018	-0.007	-0.057	-0.049	0.008	-0.009	-0.018	-0.048	0.009	-0.019	-0.008	0.001	-0.009	-0.002	-0.021	-0.003	-0.014	-0.003	-0.011	-0.012	0.011	0.177	0.008	-0.074	-0.019	0.016	-0.011	-0.025	-0.006	-0.001	-0.002	0.037	-0.061	-0.007	-0.009	-0.02	0.027	0.012	-0.015	0.001	-0.003	-0.012	-0.007	-0.002	-0.044	-0.005	-0.017	-0.002	-0.006	-0.005	-0.011	0.001	-0.001	0.083	0.621	-0.009	-0.01	-0.022	-0.033	-0.06	0.028	0.041	-0.049	-0.013	-0.016	-0.007	-0.019	0.037	-0.008	0.028	-0.011	0.025	-0.003	-0.016	-0.015	-0.01	-0.014	-0.023	-0.032	-0.017	-0.029	-0.009	0.003	0.003	0.002	-0.013	-0.003	-0.007	-0.01	-0.026	-0.001	0.012	0.003	-0.002	-0.005	-0.011	-0.004	-0.009
vessel	-0.037	0.011	-0.007	-0.006	-0.009	-0.009	0.002	-0.008	0.006	-0.009	0.007	-0.004	0.008	-0.003	-0.007	-0.003	-0.001	0.002	-0.004	0.066	0.001	-0.002	-0.008	-0.007	-0.022	-0.008	-0.005	0.001	0.005	0.008	0.001	-0.007	-0.004	-0.003	-0.002	-0.001	-0.008	0.041	-0.003	-0.008	-0.005	-0.004	-0.003	0.172	-0.003	-0.02	-0.005	-0.005	-0.005	-0.01	-0.003	-0.003	-0.001	0.006	-0.023	-0.004	-0.004	0.02	0.013	0.085	-0.006	-0.002	-0.004	-0.005	-0.003	-0.004	-0.015	0.003	-0.006	0.006	-0.001	-0.003	-0.007	-0.006	0.009	0.019	0.075	-0.003	-0.004	0.046	-0.013	-0.011	0.003	-0.009	-0.018	0.004	0.008	-0.003	-0.007	0.006	0.011	0.006	-0.004	-0.007	-0.007	-0.001	-0.004	-0.002	0	-0.004	-0.012	-0.013	-0.007	-0.006	-0.005	0.146	-0.003	0.017	-0.007	0.011	0.002	-0.01	-0.007	0.029	0.025	-0.001	-0.002	-0.006	-0.003	-0.004
potato	-0.017	-0.005	-0.007	-0.004	0.035	0.068	0.008	-0.011	0.005	0.136	-0.006	-0.005	-0.015	-0.005	-0.007	0	0.023	-0.005	-0.003	-0.004	-0.006	-0.002	-0.012	-0.009	-0.019	0.009	-0.006	-0.003	-0.008	-0.001	-0.014	-0.007	-0.003	-0.003	-0.006	-0.001	-0.008	-0.007	-0.004	-0.003	-0.003	0.009	0.002	-0.008	-0.007	0.002	-0.005	-0.005	-0.004	-0.003	-0.003	-0.002	-0.001	-0.013	-0.013	-0.006	-0.004	0.01	-0.002	0.061	-0.005	-0.001	-0.004	-0.004	-0.002	-0.004	-0.011	-0.004	-0.006	0.007	0.013	-0.003	0.007	-0.005	-0.007	-0.005	-0.011	-0.003	-0.003	0.012	-0.011	0.023	0.046	0.004	-0.016	-0.005	-0.005	-0.002	-0.002	0.065	-0.003	-0.004	-0.006	-0.008	-0.002	-0.003	-0.004	-0.004	-0.006	0.028	-0.011	-0.013	0.006	0.016	-0.003	-0.008	0.001	-0.007	-0.005	-0.004	0.007	-0.009	-0.008	-0.002	-0.002	-0.001	-0.002	0.002	0.001	-0.003
canada	-0.035	-0.006	0.019	-0.006	-0.006	0.029	-0.007	-0.007	-0.015	0.003	0.001	-0.005	-0.018	0.017	-0.007	0.003	-0.006	-0.005	-0.004	0.05	0.004	-0.002	0.003	-0.002	0.03	0.002	-0.009	-0.004	0.013	-0.013	0.029	-0.007	-0.004	-0.003	-0.01	-0.001	-0.003	-0.001	-0.004	0.017	-0.001	-0.003	-0.003	-0.003	-0.005	0.06	-0.005	0.013	0.061	0.032	-0.003	-0.003	-0.001	0	-0.016	-0.006	-0.004	-0.01	-0.002	0.016	-0.006	-0.002	-0.003	-0.002	-0.003	-0.004	-0.013	-0.004	-0.006	0.001	0.005	-0.003	-0.005	-0.006	-0.008	-0.005	0.001	-0.003	-0.004	-0.006	-0.018	0.02	0.005	-0.011	-0.001	-0.005	-0.005	-0.003	0.002	-0.002	-0.003	-0.011	-0.007	-0.005	-0.007	-0.006	0.006	0.009	-0.007	0.002	-0.019	-0.01	0.001	-0.003	-0.005	-0.009	-0.003	-0.008	-0.007	0.002	0	0.001	-0.009	-0.002	-0.002	-0.001	-0.002	0.004	-0.003	-0.004
