Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119
finland	-0.037	-0.008	-0.003	-0.004	0.006	-0.006	-0.009	-0.001	0.018	0.021	-0.01	-0.003	-0.023	-0.005	-0.01	-0.004	-0.005	0.003	-0.003	0.006	0.001	-0.003	0.038	-0.001	0.029	0.017	-0.003	-0.005	0.006	-0.017	-0.012	0.002	-0.005	-0.004	-0.003	0.009	-0.003	0.002	-0.007	0	0.001	-0.006	-0.004	-0.009	-0.008	0.073	0.01	-0.008	-0.007	-0.014	-0.004	-0.001	-0.001	-0.005	-0.026	-0.006	-0.006	-0.006	-0.003	-0.008	-0.007	-0.002	-0.008	-0.007	-0.004	-0.006	-0.019	-0.006	0.015	-0.014	-0.007	-0.003	-0.004	0.04	-0.003	0.004	-0.01	-0.004	-0.005	-0.009	0.009	-0.014	0.009	0.004	-0.025	-0.006	0	-0.004	-0.01	-0.005	-0.005	-0.004	-0.007	0.055	0.015	-0.006	-0.007	-0.005	-0.007	-0.01	0.012	-0.02	-0.001	-0.007	-0.007	-0.003	-0.005	-0.01	-0.01	-0.006	0.491	-0.014	-0.012	-0.003	-0.003	-0.001	0.017	-0.003	0.016	-0.005
veal	-0.003	-0.012	-0.01	-0.008	-0.017	-0.006	-0.012	0	-0.023	-0.02	0.023	-0.005	-0.031	-0.003	-0.014	-0.006	-0.012	-0.007	0.001	-0.006	-0.003	-0.004	0	-0.004	-0.031	0.073	-0.017	0.019	-0.017	-0.048	-0.027	-0.015	0.023	-0.007	-0.016	-0.002	-0.018	-0.014	-0.004	0.099	-0.008	-0.009	-0.006	-0.017	0.029	0.025	0.125	-0.006	0.089	-0.019	-0.006	0.003	-0.002	-0.03	-0.017	-0.01	-0.008	-0.018	-0.004	0.064	-0.012	-0.003	-0.018	-0.008	0.006	-0.009	0.075	0.004	-0.012	-0.001	-0.016	0.024	-0.015	-0.012	-0.016	0.011	-0.025	0.007	-0.008	0.03	-0.024	0.025	-0.02	0.027	-0.037	-0.007	-0.016	-0.005	-0.007	0.011	-0.007	0.011	-0.015	0.002	-0.006	0.006	-0.014	0.003	-0.007	0.001	0.1	-0.029	-0.025	-0.012	-0.005	-0.019	-0.005	-0.024	-0.015	-0.009	0.043	-0.007	-0.009	-0.004	-0.005	-0.002	-0.004	0.006	-0.007	-0.007
turkey	-0.023	-0.002	0.001	0.031	-0.006	-0.005	-0.005	-0.003	-0.012	-0.004	-0.006	-0.004	-0.007	0.011	-0.006	-0.002	-0.005	0.003	-0.003	-0.006	0.001	-0.001	0.025	0.044	-0.012	-0.004	-0.006	0.008	-0.006	-0.012	0.011	-0.006	-0.003	0	-0.006	-0.001	0	-0.006	-0.004	-0.005	0.513	0.006	0.012	0.005	-0.002	-0.009	0.011	0.005	0.006	0.026	-0.002	-0.002	-0.001	0.005	0.013	0	-0.003	-0.005	-0.002	0.014	0	-0.001	-0.004	0.016	-0.002	-0.003	-0.004	0.022	-0.005	0.007	-0.006	-0.002	-0.006	-0.002	0.025	-0.004	-0.01	-0.003	-0.003	-0.003	0	0.008	-0.007	-0.008	-0.014	0	-0.004	-0.002	0.003	-0.002	-0.003	-0.001	-0.003	0.03	-0.004	-0.002	-0.005	0.021	-0.006	-0.007	-0.012	0.052	0.022	-0.005	0.005	-0.007	-0.003	-0.01	0.001	0	-0.005	0.032	0.016	-0.002	-0.002	-0.001	-0.002	-0.004	-0.003	-0.003
import	0.534	-0.014	-0.025	-0.045	-0.084	0.039	-0.042	-0.043	-0.118	-0.08	-0.075	-0.05	0.095	-0.029	0.13	-0.017	-0.044	-0.023	-0.033	-0.084	-0.002	-0.006	-0.053	-0.089	-0.195	-0.115	-0.08	0.019	-0.053	-0.063	-0.051	-0.069	-0.018	-0.028	-0.098	-0.007	-0.079	-0.061	-0.048	0.027	-0.015	-0.038	-0.021	0.018	-0.058	-0.083	-0.093	0.024	0.001	-0.082	-0.015	-0.016	-0.007	0.057	0.401	-0.034	-0.003	-0.073	-0.017	-0.016	-0.055	-0.011	-0.062	-0.009	-0.017	-0.032	0.215	-0.019	-0.061	-0.059	-0.028	-0.021	-0.047	-0.054	-0.072	-0.072	-0.11	-0.025	-0.035	-0.025	-0.166	-0.019	-0.081	-0.091	0.411	-0.003	-0.071	-0.014	0.052	-0.053	-0.013	-0.059	-0.058	-0.056	-0.061	-0.052	-0.057	-0.019	-0.054	-0.065	-0.175	0.25	0.013	-0.031	-0.041	-0.065	-0.028	-0.111	-0.067	-0.003	-0.048	-0.054	-0.076	-0.01	-0.021	-0.007	-0.016	-0.044	-0.03	-0.021
restriction	-0.054	0.028	-0.008	0.016	-0.03	0.068	0.17	-0.019	0.078	-0.015	-0.031	0.007	-0.044	-0.008	-0.008	0.017	-0.01	0.004	-0.005	-0.033	0.026	-0.007	0.015	-0.027	-0.03	0.011	-0.028	0.006	0.056	0.006	0.008	-0.026	0.009	-0.01	-0.003	0.022	-0.028	-0.012	0.109	0.012	0	-0.008	0.01	0.016	0.06	-0.041	-0.034	0.019	0.002	0.087	-0.005	-0.003	0.009	-0.018	0.021	-0.004	-0.008	-0.016	-0.005	0.014	-0.021	0.004	-0.018	0.008	0.01	-0.006	0.154	0.013	-0.023	-0.002	-0.002	-0.002	0.037	-0.02	-0.015	-0.002	-0.041	0.08	0.009	0.014	-0.055	0.019	-0.012	-0.013	0.019	-0.014	0.035	-0.006	0.024	-0.01	0.028	0.015	-0.013	0.034	0.013	0.014	-0.008	-0.006	-0.012	-0.028	-0.047	-0.045	-0.017	0.129	-0.013	-0.008	-0.009	-0.014	-0.023	0.021	0.001	0.013	-0.025	-0.005	-0.008	-0.003	-0.005	-0.017	-0.005	-0.002
mollusc	-0.029	-0.005	0.062	0.006	0	0.015	-0.006	-0.011	-0.009	0.001	0	-0.004	-0.015	-0.004	-0.006	-0.002	-0.005	-0.005	0.005	-0.01	-0.008	-0.002	-0.012	-0.001	-0.016	0.003	-0.008	-0.003	-0.004	-0.012	-0.006	-0.006	0.001	-0.003	-0.008	-0.001	-0.005	-0.005	-0.004	0.003	0.046	-0.004	-0.003	0.06	0.016	0.041	-0.01	-0.005	-0.002	-0.009	-0.002	-0.002	-0.001	0.009	-0.019	0.002	-0.004	-0.005	-0.002	0.076	-0.005	-0.001	-0.008	-0.004	0.01	-0.004	-0.017	-0.004	-0.006	-0.01	-0.005	-0.003	-0.006	-0.004	-0.007	0.009	-0.007	0.002	-0.003	0.011	-0.014	0.103	0.017	-0.008	-0.009	0	-0.008	-0.002	0.002	-0.002	-0.003	0.029	-0.006	-0.007	-0.001	-0.006	0.002	-0.003	-0.005	-0.008	-0.017	-0.012	-0.006	-0.005	-0.004	0.031	-0.003	-0.006	-0.002	-0.004	-0.003	-0.009	-0.003	-0.002	-0.002	-0.001	-0.002	-0.005	-0.003	-0.003
risk	-0.06	-0.004	0.025	0.024	-0.015	-0.004	-0.002	-0.014	-0.021	0.07	0.005	-0.007	-0.025	-0.005	-0.008	-0.004	0.002	-0.002	-0.001	0.005	-0.017	-0.003	-0.02	0.01	-0.038	-0.076	-0.014	-0.006	-0.012	0.18	-0.022	-0.011	-0.001	-0.003	0.01	-0.001	-0.013	-0.007	-0.005	-0.001	0.016	-0.007	-0.005	0.002	0.014	-0.027	-0.015	-0.009	-0.006	-0.014	-0.005	-0.004	-0.001	0	-0.037	0.002	-0.007	0.003	-0.003	0.043	-0.008	-0.003	-0.014	-0.007	0.009	-0.007	-0.031	-0.004	-0.005	0.002	0.019	-0.005	-0.009	-0.009	-0.009	0.013	-0.017	0.002	0.003	-0.011	-0.016	0.245	-0.001	-0.002	-0.026	-0.004	-0.007	-0.004	-0.009	0.089	-0.005	-0.011	-0.011	-0.028	-0.009	-0.01	0	0.021	-0.004	-0.014	-0.032	-0.022	-0.014	-0.009	-0.002	0.009	-0.003	0.053	-0.001	-0.001	-0.007	-0.015	-0.01	-0.003	-0.004	-0.001	0.01	-0.007	0	-0.006
originating	-0.063	-0.009	-0.013	-0.021	-0.009	0.063	-0.014	0.001	-0.053	-0.025	-0.029	-0.024	-0.041	-0.02	0.208	-0.011	-0.004	-0.002	-0.011	-0.007	0.043	-0.008	-0.006	-0.038	-0.063	-0.012	-0.032	0.037	0.007	-0.048	0.038	-0.031	-0.007	-0.012	-0.042	-0.003	-0.035	-0.028	-0.022	-0.007	0.014	-0.01	-0.004	0.089	-0.015	-0.027	-0.038	0.032	-0.005	-0.038	0.003	0	-0.003	-0.042	0.246	-0.011	0.037	-0.024	-0.005	0.077	-0.025	0.005	-0.016	0.03	-0.006	-0.012	0.101	0.012	-0.026	-0.001	0.017	-0.01	-0.018	-0.024	-0.031	-0.039	-0.045	-0.007	-0.016	0.007	-0.071	0.043	-0.023	-0.042	-0.023	0.011	-0.021	0.006	0.112	-0.006	0.012	-0.026	-0.022	0.043	-0.027	-0.017	-0.023	0.005	-0.027	-0.025	-0.071	0.248	0.195	0.003	-0.016	-0.027	-0.012	-0.048	-0.03	0.036	-0.01	0.005	-0.031	-0.003	-0.009	-0.003	-0.005	-0.02	-0.013	0.004
product	-0.012	0.019	-0.033	-0.023	0.229	0.006	-0.053	-0.012	-0.093	-0.016	-0.051	-0.046	-0.009	-0.036	0.08	-0.018	-0.027	-0.022	-0.03	-0.022	0.013	0	0.039	-0.049	0.014	0.001	-0.061	0.025	-0.035	0.132	0.029	-0.066	-0.001	-0.026	-0.052	-0.007	-0.073	-0.042	-0.035	0.03	-0.007	-0.034	-0.016	0.046	-0.011	-0.051	-0.058	0.004	-0.007	-0.074	-0.009	-0.012	0.009	-0.005	0.132	-0.014	0.049	0.007	-0.011	0.041	-0.05	0.003	-0.053	-0.007	0.001	-0.026	0.098	0.009	-0.052	-0.012	0.025	-0.014	-0.031	-0.033	-0.065	-0.031	-0.094	-0.023	0.009	0.049	-0.133	0.155	0.017	-0.068	-0.093	0.018	-0.059	-0.009	0.035	-0.027	-0.009	-0.031	-0.047	0.018	-0.056	0.02	-0.04	0.019	-0.049	-0.037	-0.065	0.064	0.086	-0.026	-0.038	-0.043	-0.017	-0.037	-0.061	0.007	-0.027	0.002	-0.058	-0.015	-0.011	-0.007	0.009	-0.021	-0.028	0.021
fishery	-0.109	0.023	-0.017	0.025	-0.028	-0.019	-0.024	-0.023	-0.029	-0.026	-0.005	-0.02	-0.051	-0.017	-0.02	-0.005	-0.003	0.098	-0.013	-0.003	-0.015	-0.006	-0.011	-0.015	-0.073	-0.036	-0.022	0.007	-0.022	-0.063	0.082	-0.024	0.008	-0.008	-0.017	-0.003	-0.022	-0.025	-0.017	-0.021	-0.002	-0.012	-0.007	0.473	0.021	-0.059	-0.031	-0.014	-0.013	-0.033	-0.01	-0.009	-0.003	-0.01	-0.044	-0.002	0.022	-0.01	0.041	0.109	-0.02	-0.005	-0.02	-0.005	-0.009	-0.014	-0.051	-0.015	-0.021	-0.008	-0.016	0.014	-0.013	-0.019	-0.018	0.041	0.531	-0.012	-0.013	0.019	-0.008	0.008	-0.013	-0.039	-0.063	-0.014	-0.029	-0.009	-0.003	0.007	-0.003	0.032	-0.006	0.063	-0.012	-0.02	-0.012	-0.001	-0.023	-0.031	-0.051	-0.027	-0.038	-0.004	-0.014	-0.007	-0.008	-0.037	-0.024	0.001	-0.02	-0.011	-0.021	-0.007	0.003	-0.003	-0.007	-0.019	-0.01	-0.012
